"^2THR ^3Daniel ^s1 "6
-397.529 933.819 137.043 0
-405.991 929.274 139.746 0
-414.783 924.963 142.449 0
-423.574 920.484 143.635 0
-432.726 916.195 146.404 0
-442.012 911.979 147.876 0
-451.492 907.844 150.084 0
-461.101 903.644 152.183 0
-470.925 899.557 154.325 0
-480.725 895.199 155.973 0
-490.676 890.756 157.972 0
-500.451 885.774 159.335 0
-510.053 880.235 160.642 0
-519.393 874.06 161.873 0
-528.354 867.283 163.081 0
-537.007 859.92 164.18 0
-545.116 851.864 165.234 0
-553.151 843.645 166.707 0
-560.505 834.664 167.772 0
-567.783 825.55 169.146 0
-574.482 815.854 170.365 0
-581.062 805.99 171.782 0
-587.082 795.653 172.837 0
-592.89 785.141 173.979 0
-598.227 774.26 175.122 0
-603.136 763.113 175.88 0
-607.305 751.675 174.705 0
-610.769 739.894 176.715 0
-613.451 727.875 178 0
-615.449 715.662 178.638 0
-616.696 703.326 179.385 0
-617.009 690.869 179.879 0
-616.786 678.369 180.89 0
-615.677 665.855 181.692 0
-613.632 653.415 181.703 0
-610.745 641.088 182.626 0
-606.959 628.985 182.878 0
-602.554 616.982 184.208 0
-597.549 605.174 185.394 0
-591.923 593.563 186.339 0
-586.368 581.852 187.449 0
-580.242 570.391 186.691 0
-573.757 559.402 180.308 0
-567.16 549.163 170.211 0
-560.744 539.75 157.126 0
-554.526 531.427 143.383 0
-548.359 524.222 130.726 0
-542.376 518.05 117.356 0
-536.45 512.835 110.259 0
-530.358 508.276 107.842 0
-523.86 504.661 106.908 0
-517.031 501.674 107.336 0
-510.152 499.044 105.062 0
-503.567 496.125 102.777 0
-497.562 492.487 99.7668 0
-492.286 488.155 97.6904 0
-487.678 483.066 99.9097 0
-483.542 477.365 103.063 0
-480.332 470.857 105.688 0
-477.774 463.888 108.424 0
-475.804 456.504 111.808 0
-474.343 448.794 114.368 0
-473.512 440.789 117.235 0
-473.197 432.535 119.773 0
-473.088 424.047 122.915 0
-473.089 415.352 125.914 0
-473.161 406.488 128.815 0
-473.279 397.442 131.847 0
-473.307 388.19 134.33 0
-473.404 378.759 137.307 0
-473.513 369.133 140.076 0
