"^1[GRT] ^3Wheldon ^9^s2 "70
-404.647 1050.3 14.1724 0
-404.849 1049.3 14.469 0
-404.953 1048.34 13.6121 0
-404.986 1046.81 17.0068 0
-404.726 1045.69 16.2158 0
-404.113 1044.41 18.6658 0
-403.414 1043.37 17.8198 0
-402.206 1042.33 20.896 0
-400.975 1041.61 19.7095 0
-399.679 1041.2 19.5667 0
-397.43 1040.78 24.3677 0
-395.822 1040.94 22.2363 0
-393.445 1041.6 31.7615 0
-391.369 1042.75 35.8704 0
-389.181 1044.28 40.8032 0
-386.962 1046.25 45.2307 0
-384.713 1048.64 49.9768 0
-382.207 1051.27 55.2393 0
-379.296 1053.97 60.1392 0
-375.939 1056.68 64.5447 0
-372.157 1059.06 64.0173 0
-368.105 1060.74 63.2922 0
-363.83 1061.8 63.446 0
-359.355 1062.49 66.4343 0
-354.648 1062.86 69.4446 0
-349.722 1062.82 72.4329 0
-344.593 1062.35 75.9595 0
-339.289 1061.44 79.2114 -1
-333.886 1059.9 82.6282 0
-328.445 1057.8 85.6494 0
-323.118 1055 87.5281 0
-318.174 1051.55 86.3525 0
-313.857 1047.53 84.1992 0
-310.153 1043.1 82.1448 0
-307.352 1038.1 81.9031 0
-305.262 1032.72 83.0566 0
-303.983 1027.08 83.7158 0
-303.508 1021.31 83.6389 0
-303.759 1015.51 83.3752 0
-305.165 1009.79 84.6167 0
-307.093 1004.24 84.5068 0
-310.203 999.172 85.7373 0
-313.813 994.408 87.0557 0
-318.137 990.029 90.4944 0
-323.048 985.897 94.4385 0
-328.388 981.857 98.5803 0
-333.869 977.606 102.206 0
-339.712 973.391 105.886 0
-345.919 969.224 109.655 0
-352.506 965.154 113.467 0
-359.023 960.707 115.444 0
-366.005 956.427 119.169 0
-373.181 952.112 121.871 0
-380.555 947.764 124.882 0
-388.166 943.4 127.936 0
-395.804 938.687 130.814 0
-403.747 934.08 133.781 0
-411.666 929.249 135.967 0
-419.976 924.576 138.768 0
-428.449 919.885 141.262 0
-437.091 915.301 142.053 0
-446.008 910.778 144.976 0
-455.207 906.504 147.239 0
-464.423 902.066 148.997 0
-473.952 897.856 151.139 0
-483.535 893.515 153.04 0
-493.223 889.05 154.545 0
-502.864 884.186 156.412 0
-512.124 878.502 157.643 0
-521.154 872.236 158.983 0
-529.784 865.369 159.851 0
-538.126 857.972 161.235 0
-546.018 850.088 160.104 0
-553.587 841.658 163.235 0
-560.884 832.941 164.718 0
-567.893 823.842 166.146 0
-574.919 814.692 167.388 0
-581.689 805.211 168.596 0
-588.114 795.383 169.596 0
-593.897 785.12 170.585 0
-599.033 774.46 171.211 0
-603.597 763.458 172.035 0
-607.536 752.158 173.079 0
-610.8 740.571 173.859 0
-613.396 728.778 174.913 0
-615.372 716.765 175.946 0
-616.63 704.605 176.902 0
-617.25 692.321 178.143 0
-617.15 679.971 178.726 0
-616.358 667.576 179.451 0
-614.506 655.232 180.374 0
-611.793 642.988 181.099 0
-608.413 630.922 181.802 0
-604.285 618.974 182.494 0
-599.511 607.232 183.538 0
-594.056 595.699 184.109 0
-588.155 584.337 185.186 0
-582.165 573.151 180.286 0
-576.422 562.746 165.498 0
-571.019 553.249 152.424 0
-565.773 544.548 141.713 0
-560.478 536.696 132.078 0
-555.15 529.625 122.64 0
-549.301 523.389 121.344 0
-542.894 517.682 122.234 0
-536.173 512.785 119.487 0
-529.43 508.378 112.445 0
-522.851 504.893 104.403 0
-516.355 502.116 99.3164 0
-510.041 499.535 96.8115 0
-504.064 496.443 96.5039 0
-498.385 492.713 98.3826 0
-493.088 488.326 99.7668 0
-488.21 483.363 100.679 0
-484.193 477.561 102.151 0
-480.795 471.297 103.634 0
-478.208 464.551 105.392 0
-476.375 457.402 107.875 0
